date,holiday
2019-01-01,New Year's Day
2019-03-04,Carnival Monday
2019-03-05,Carnival Tuesday
2019-03-24,Truth and Justice Memorial Day
2019-04-02,Malvinas Day
2019-04-19,Good Friday
2019-05-01,Labour Day
2019-05-25,May Day Revolution
2019-06-17,Martin Miguel de Guemes Day
2019-06-20,National Flag Day
2019-07-08,Independence Day(bridge day)
2019-07-09,Independence Day
2019-08-19,San Martin's Day
2019-10-14,Day of Respect for Cultural Diversity
2019-11-18,Day of National Sovereignty
2019-12-08,Inmaculate Conception Day
2019-12-25, Christmas Day
